                         List of relations
 Schema |                Name                |   Type   |  Owner   
--------+------------------------------------+----------+----------
 public | ai_agents                          | table    | postgres
 public | ai_agents_id_seq                   | sequence | postgres
 public | ai_execution_logs                  | table    | postgres
 public | ai_execution_logs_id_seq           | sequence | postgres
 public | ai_prompts                         | table    | postgres
 public | ai_prompts_id_seq                  | sequence | postgres
 public | alembic_version                    | table    | postgres
 public | anuncios                           | table    | postgres
 public | anuncios_analytics                 | table    | postgres
 public | anuncios_analytics_id_seq          | sequence | postgres
 public | anuncios_id_seq                    | sequence | postgres
 public | assinaturas                        | table    | postgres
 public | assinaturas_id_seq                 | sequence | postgres
 public | associacoes                        | table    | postgres
 public | associacoes_id_seq                 | sequence | postgres
 public | audit_log                          | table    | postgres
 public | audit_log_id_seq                   | sequence | postgres
 public | beck_depression_testes             | table    | postgres
 public | beck_depression_testes_id_seq      | sequence | postgres
 public | compartilhamentos_pacientes        | table    | postgres
 public | compartilhamentos_pacientes_id_seq | sequence | postgres
 public | configuracao_prescricao            | table    | postgres
 public | configuracao_prescricao_id_seq     | sequence | postgres
 public | consultas                          | table    | postgres
 public | consultas_id_seq                   | sequence | postgres
 public | crew_agent_association             | table    | postgres
 public | crew_configs                       | table    | postgres
 public | crew_configs_id_seq                | sequence | postgres
 public | crew_tasks                         | table    | postgres
 public | crew_tasks_id_seq                  | sequence | postgres
 public | dispensacoes                       | table    | postgres
 public | dispensacoes_id_seq                | sequence | postgres
 public | documentos_membro                  | table    | postgres
 public | documentos_membro_id_seq           | sequence | postgres
 public | dosagens                           | table    | postgres
 public | dosagens_id_seq                    | sequence | postgres
 public | estoque_associacao                 | table    | postgres
 public | estoque_associacao_id_seq          | sequence | postgres
 public | evolucoes                          | table    | postgres
 public | evolucoes_id_seq                   | sequence | postgres
 public | exame_imagens                      | table    | postgres
 public | exame_imagens_id_seq               | sequence | postgres
 public | exame_lab_resultados               | table    | postgres
 public | exame_lab_resultados_id_seq        | sequence | postgres
 public | exames                             | table    | postgres
 public | exames_id_seq                      | sequence | postgres
 public | faturas                            | table    | postgres
 public | faturas_id_seq                     | sequence | postgres
 public | gad7_testes                        | table    | postgres
 public | gad7_testes_id_seq                 | sequence | postgres
 public | inventory_items                    | table    | postgres
 public | inventory_items_id_seq             | sequence | postgres
 public | llm_configs                        | table    | postgres
 public | llm_configs_id_seq                 | sequence | postgres
 public | logs_atividades                    | table    | postgres
 public | logs_atividades_id_seq             | sequence | postgres
 public | membros_associacao                 | table    | postgres
 public | membros_associacao_id_seq          | sequence | postgres
 public | ocr_resultados                     | table    | postgres
 public | ocr_resultados_id_seq              | sequence | postgres
 public | pacientes                          | table    | postgres
 public | pacientes_id_seq                   | sequence | postgres
 public | pagamentos_registros               | table    | postgres
 public | pagamentos_registros_id_seq        | sequence | postgres
 public | pharmacy_dispenses                 | table    | postgres
 public | pharmacy_dispenses_id_seq          | sequence | postgres
 public | phq9_testes                        | table    | postgres
 public | phq9_testes_id_seq                 | sequence | postgres
 public | planos                             | table    | postgres
 public | planos_id_seq                      | sequence | postgres
 public | prescricoes                        | table    | postgres
 public | prescricoes_id_seq                 | sequence | postgres
 public | produtos                           | table    | postgres
 public | produtos_id_seq                    | sequence | postgres
 public | profissionais                      | table    | postgres
 public | profissionais_id_seq               | sequence | postgres
 public | reminder_settings                  | table    | postgres
 public | reminder_settings_id_seq           | sequence | postgres
 public | senhas_temporarias                 | table    | postgres
 public | senhas_temporarias_id_seq          | sequence | postgres
 public | sintomas                           | table    | postgres
 public | sintomas_id_seq                    | sequence | postgres
 public | sintomas_personalizados            | table    | postgres
 public | sintomas_personalizados_id_seq     | sequence | postgres
 public | snap_iv_testes                     | table    | postgres
 public | snap_iv_testes_id_seq              | sequence | postgres
 public | solicitacoes_cadastro              | table    | postgres
 public | solicitacoes_cadastro_id_seq       | sequence | postgres
 public | solicitacoes_exames                | table    | postgres
 public | solicitacoes_exames_id_seq         | sequence | postgres
 public | upload_sessions                    | table    | postgres
 public | upload_sessions_id_seq             | sequence | postgres
 public | usuarios_associacoes               | table    | postgres
 public | usuarios_associacoes_id_seq        | sequence | postgres
(94 rows)

